taxa,reads
g__Lactobacillus.s__Lactobacillus_ultunensis,2.0
g__Lactococcus.s__Lactococcus_garvieae,1.0
g__Legionella.s__Legionella_longbeachae,1.0
g__Legionella.s__Legionella_pneumophila,3.0
g__Leishmania.s__Leishmania_braziliensis,52.0
g__Leishmania.s__Leishmania_donovani,2.0
g__Leishmania.s__Leishmania_infantum,6.0
g__Leishmania.s__Leishmania_major,2.0
g__Leptonema.s__Leptonema_illini,6.0
g__Leptosphaeria.s__Leptosphaeria_maculans,72.0
g__Leptospira.s__Leptospira_alexanderi,2.0
g__Leptospira.s__Leptospira_interrogans,5.0
g__Leptospira.s__Leptospira_noguchii,3.0
g__Leptospira.s__Leptospira_santarosai,1.0
g__Leptospira.s__Leptospira_weilii,2.0
g__Leptotrichia.s__Leptotrichia_hofstadii,1.0
g__Leuconostoc.s__Leuconostoc_kimchii,1.0
g__Leuconostoc.s__Leuconostoc_pseudomesenteroides,2.0
g__Limnohabitans.s__Limnohabitans_sp_Rim28,1.0
g__Limnohabitans.s__Limnohabitans_sp_Rim47,9.0
g__Listeria.s__Listeria_grayi,1.0
g__Listeria.s__Listeria_innocua,2.0
g__Listeria.s__Listeria_monocytogenes,47.0
g__Lodderomyces.s__Lodderomyces_elongisporus,12.0
g__Magnaporthe.s__Magnaporthe_oryzae,17.0
g__Malassezia.s__Malassezia_globosa,2.0
g__Mannheimia.s__Mannheimia_haemolytica,9.0
g__Marinilabilia.s__Marinilabilia_salmonicolor,9.0
g__Marvinbryantia.s__Marvinbryantia_formatexigens,20.0
g__Megamonas.s__Megamonas_funiformis,10.0
g__Mesorhizobium.s__Mesorhizobium_amorphae,7.0
g__Mesorhizobium.s__Mesorhizobium_australicum,26.0
g__Mesorhizobium.s__Mesorhizobium_ciceri,3.0
g__Mesorhizobium.s__Mesorhizobium_loti,59.0
g__Mesorhizobium.s__Mesorhizobium_metallidurans,1.0
g__Mesorhizobium.s__Mesorhizobium_opportunistum,3.0
g__Mesorhizobium.s__Mesorhizobium_sp_WSM4349,2.0
g__Methylibium.s__Methylibium_petroleiphilum,5.0
g__Methylobacterium.s__Methylobacterium_nodulans,1.0
g__Methylomicrobium.s__Methylomicrobium_buryatense,1.0
g__Methylophilus.s__Methylophilus_methylotrophus,2.0
g__Methylophilus.s__Methylophilus_sp_42,1.0
g__Methylosinus.s__Methylosinus_sp_LW4,2.0
g__Methylotenera.s__Methylotenera_sp_73s,1.0
g__Methyloversatilis.s__Methyloversatilis_universalis,2.0
g__Microbacterium.s__Microbacterium_laevaniformans,2.0
g__Microbacterium.s__Microbacterium_sp_oral_taxon_186,1.0
g__Microbacterium.s__Microbacterium_testaceum,10.0
g__Micrococcus.s__Micrococcus_luteus,1.0
g__Microcystis.s__Microcystis_aeruginosa,3.0
g__Microvirga.s__Microvirga_sp_WSM3557,6.0
g__Millerozyma.s__Millerozyma_farinosa,1.0
g__Moniliophthora.s__Moniliophthora_perniciosa,1.0
g__Moorea.s__Moorea_producens,1.0
g__Mucilaginibacter.s__Mucilaginibacter_paludis,2.0
g__Mucispirillum.s__Mucispirillum_schaedleri,6989.0
g__Myceliophthora.s__Myceliophthora_thermophila,150.0
g__Mycobacterium.s__Mycobacterium_avium,3.0
g__Mycobacterium.s__Mycobacterium_intracellulare,9.0
g__Mycoplasma.s__Mycoplasma_conjunctivae,3.0
g__Natrialba.s__Natrialba_hulunbeirensis,1.0
g__Natrialba.s__Natrialba_magadii,4.0
g__Naumovozyma.s__Naumovozyma_dairenensis,45.0
g__Nautilia.s__Nautilia_profundicola,1.0
g__Neisseria.s__Neisseria_flavescens,11.0
g__Neisseria.s__Neisseria_meningitidis,1.0
g__Neisseria.s__Neisseria_shayeganii,2.0
g__Neosartorya.s__Neosartorya_fischeri,8.0
g__Neospora.s__Neospora_caninum,7.0
g__Neurospora.s__Neurospora_crassa,13.0
g__Nitratireductor.s__Nitratireductor_pacificus,1.0
g__Nitrobacter.s__Nitrobacter_sp_Nb_311A,1.0
g__Nitrosomonas.s__Nitrosomonas_europaea,1.0
g__Nocardioidaceae_noname.s__Nocardioidaceae_bacterium_Broad_1,1.0
g__Nocardioides.s__Nocardioides_sp_CF8,1.0
g__Novosphingobium.s__Novosphingobium_sp_B_7,8.0
g__Ochrobactrum.s__Ochrobactrum_intermedium,14.0
g__Odoribacter.s__Odoribacter_laneus,6.0
g__Odoribacter.s__Odoribacter_splanchnicus,1.0
g__Opitutaceae_noname.s__Opitutaceae_bacterium_TAV1,1.0
