uniref90,taxa,RPK
UniRef90_K5ZRK1,g__Parabacteroides.s__Parabacteroides_goldsteinii,99.0
UniRef90_K6AGJ4,g__Parabacteroides.s__Parabacteroides_goldsteinii,99.0
UniRef90_K6AUB9,g__Parabacteroides.s__Parabacteroides_goldsteinii,99.0
UniRef90_N2AV40,g__Parabacteroides.s__Parabacteroides_goldsteinii,99.0
UniRef90_N2B0G6,g__Parabacteroides.s__Parabacteroides_goldsteinii,99.0
UniRef90_Q7TQ39,unclassified,98.22644490459999
UniRef90_N1ZJP4,g__Clostridium.s__Clostridium_sp_ASF356,98.0
UniRef90_I7GIE7,unclassified,97.40038522719999
UniRef90_K5ZHJ4,g__Parabacteroides.s__Parabacteroides_goldsteinii,97.0
UniRef90_N1ZFC7,g__Clostridium.s__Clostridium_sp_ASF356,97.0
UniRef90_N1ZIW0,g__Clostridium.s__Clostridium_sp_ASF356,97.0
UniRef90_K5Z729,g__Parabacteroides.s__Parabacteroides_goldsteinii,96.0
UniRef90_K5ZUB2,g__Parabacteroides.s__Parabacteroides_goldsteinii,96.0
UniRef90_N2ASG7,g__Parabacteroides.s__Parabacteroides_goldsteinii,96.0
UniRef90_Q3U5D6,unclassified,95.93008837389999
UniRef90_J3SBR0,unclassified,95.92667500399999
UniRef90_Q64033,unclassified,95.425532354
UniRef90_K5YHC2,g__Parabacteroides.s__Parabacteroides_goldsteinii,95.0
UniRef90_K6A1R8,g__Parabacteroides.s__Parabacteroides_goldsteinii,95.0
UniRef90_K6A3I5,g__Parabacteroides.s__Parabacteroides_goldsteinii,95.0
UniRef90_K6AQ86,g__Parabacteroides.s__Parabacteroides_goldsteinii,95.0
UniRef90_B1A1E2,unclassified,94.6993601595
UniRef90_M0R7V7,unclassified,94.341758586
UniRef90_R0MCU2,unclassified,94.12717573329999
UniRef90_A0A016KEP6,g__Parabacteroides.s__Parabacteroides_goldsteinii,94.0
UniRef90_K5Z9T8,g__Parabacteroides.s__Parabacteroides_goldsteinii,94.0
UniRef90_Q4YDN4,unclassified,93.52035117700001
UniRef90_R0CI69,unclassified,93.2457506234
UniRef90_B6FLP0,g__Clostridium.s__Clostridium_sp_ASF356,93.0
UniRef90_N2AMG6,g__Parabacteroides.s__Parabacteroides_goldsteinii,93.0
UniRef90_T0NDH0,unclassified,92.14811375229999
UniRef90_K6A6X9,g__Parabacteroides.s__Parabacteroides_goldsteinii,92.0
UniRef90_K6AKX9,g__Parabacteroides.s__Parabacteroides_goldsteinii,92.0
UniRef90_K6AUG3,g__Parabacteroides.s__Parabacteroides_goldsteinii,92.0
UniRef90_S0GNF1,g__Parabacteroides.s__Parabacteroides_goldsteinii,92.0
UniRef90_E1WS00,g__Parabacteroides.s__Parabacteroides_goldsteinii,91.0
UniRef90_K6AQ22,g__Parabacteroides.s__Parabacteroides_goldsteinii,91.0
UniRef90_N1Z3G2,g__Clostridium.s__Clostridium_sp_ASF356,91.0
UniRef90_K5YZ96,g__Parabacteroides.s__Parabacteroides_goldsteinii,90.0
UniRef90_K6A2J2,g__Parabacteroides.s__Parabacteroides_goldsteinii,90.0
UniRef90_N1Z1Y2,g__Clostridium.s__Clostridium_sp_ASF356,90.0
UniRef90_N1Z5G6,g__Clostridium.s__Clostridium_sp_ASF356,90.0
UniRef90_N2AZK8,g__Parabacteroides.s__Parabacteroides_goldsteinii,90.0
