uniref90,taxa,RPK
UniRef90_N2B579,g__Parabacteroides.s__Parabacteroides_goldsteinii,89.0
UniRef90_Q7R7I1,unclassified,88.4058467019
UniRef90_K5ZLD1,g__Parabacteroides.s__Parabacteroides_goldsteinii,88.0
UniRef90_K6ABM3,g__Parabacteroides.s__Parabacteroides_goldsteinii,88.0
UniRef90_Q4YL90,unclassified,87.9475388775
UniRef90_E7EZ11,unclassified,87.35245956889999
UniRef90_D6D372,g__Parabacteroides.s__Parabacteroides_goldsteinii,87.0
UniRef90_K6A9D2,g__Parabacteroides.s__Parabacteroides_goldsteinii,87.0
UniRef90_N1ZGS6,g__Clostridium.s__Clostridium_sp_ASF356,87.0
UniRef90_N2AZ46,g__Parabacteroides.s__Parabacteroides_goldsteinii,87.0
UniRef90_Q89YG2,g__Parabacteroides.s__Parabacteroides_goldsteinii,87.0
UniRef90_K5YC49,g__Parabacteroides.s__Parabacteroides_goldsteinii,86.0
UniRef90_K6AG74,g__Parabacteroides.s__Parabacteroides_goldsteinii,86.0
UniRef90_K6ARH6,g__Parabacteroides.s__Parabacteroides_goldsteinii,86.0
UniRef90_P06728,unclassified,86.0
UniRef90_V2QF42,g__Mucispirillum.s__Mucispirillum_schaedleri,86.0
UniRef90_Q7R7I2,unclassified,85.1856398121
UniRef90_Q4YD50,unclassified,85.0917549431
UniRef90_K5Y2E2,g__Parabacteroides.s__Parabacteroides_goldsteinii,83.0
UniRef90_K5Y2E2,unclassified,2.0
UniRef90_K6ABH1,g__Parabacteroides.s__Parabacteroides_goldsteinii,85.0
UniRef90_K6AQ64,g__Parabacteroides.s__Parabacteroides_goldsteinii,85.0
UniRef90_N1ZDA7,g__Clostridium.s__Clostridium_sp_ASF356,85.0
UniRef90_N2ASG6,g__Parabacteroides.s__Parabacteroides_goldsteinii,85.0
UniRef90_N2AX94,g__Parabacteroides.s__Parabacteroides_goldsteinii,85.0
UniRef90_N2BCN2,g__Parabacteroides.s__Parabacteroides_goldsteinii,85.0
UniRef90_N1Z1T6,g__Clostridium.s__Clostridium_sp_ASF356,84.0
UniRef90_N1ZJF3,g__Clostridium.s__Clostridium_sp_ASF356,84.0
UniRef90_N1ZLE9,g__Clostridium.s__Clostridium_sp_ASF356,84.0
UniRef90_N2AMG6,g__Parabacteroides.s__Parabacteroides_goldsteinii,84.0
