GeneID,RPK,taxa
UNMAPPED|UNMAPPED,1900477.0,UNMAPPED
UniRef90_Q4XDB9|unclassified,75.511830062,unclassified
UniRef90_D3Z496|unclassified,75.4085547401,unclassified
UniRef90_B5CLP5|unclassified,75.25177749619999,unclassified
UniRef90_A7VD51|unclassified,75.0517774962,unclassified
UniRef90_K6AUL6|g__Parabacteroides.s__Parabacteroides_goldsteinii,75.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6WQ56|g__Parabacteroides.s__Parabacteroides_goldsteinii,75.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A5KRI7|unclassified,74.8512505747,unclassified
UniRef90_A7B6Q1|unclassified,74.8512505747,unclassified
UniRef90_K5Y8F4|g__Parabacteroides.s__Parabacteroides_goldsteinii,74.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BHC2|g__Parabacteroides.s__Parabacteroides_goldsteinii,74.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6WRT3|g__Parabacteroides.s__Parabacteroides_goldsteinii,74.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6WWE4|g__Parabacteroides.s__Parabacteroides_goldsteinii,74.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q4YD51|unclassified,73.2406469395,unclassified
UniRef90_A6LCV6|g__Parabacteroides.s__Parabacteroides_goldsteinii,71.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZP27|g__Parabacteroides.s__Parabacteroides_goldsteinii,71.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZGT5|g__Parabacteroides.s__Parabacteroides_goldsteinii,70.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B046|g__Parabacteroides.s__Parabacteroides_goldsteinii,70.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A5Z324|unclassified,69.53696680649999,unclassified
UniRef90_Q4X6X1|unclassified,69.0000131086,unclassified
UniRef90_N1Z9E8|unclassified,69.0,unclassified
UniRef90_N1ZAM0|unclassified,68.0,unclassified
UniRef90_N2AQG2|g__Parabacteroides.s__Parabacteroides_goldsteinii,68.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_UPI0003B2F08F|unclassified,67.1149696037,unclassified
UniRef90_K5YRR2|g__Parabacteroides.s__Parabacteroides_goldsteinii,67.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZQ83|g__Parabacteroides.s__Parabacteroides_goldsteinii,67.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BB76|g__Parabacteroides.s__Parabacteroides_goldsteinii,67.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZU79|g__Parabacteroides.s__Parabacteroides_goldsteinii,66.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1ZJQ1|unclassified,66.0,unclassified
UniRef90_N2BAD9|g__Parabacteroides.s__Parabacteroides_goldsteinii,66.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_UPI00015629ED|unclassified,65.59912935310001,unclassified
UniRef90_N2B988|g__Parabacteroides.s__Parabacteroides_goldsteinii,65.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1ZLE9|unclassified,64.050150913,unclassified
UniRef90_K5Z7B3|g__Parabacteroides.s__Parabacteroides_goldsteinii,64.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B7Z8|g__Parabacteroides.s__Parabacteroides_goldsteinii,64.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BIP9|g__Parabacteroides.s__Parabacteroides_goldsteinii,64.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6X2P9|g__Parabacteroides.s__Parabacteroides_goldsteinii,64.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Y0V8|g__Parabacteroides.s__Parabacteroides_goldsteinii,63.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZIF0|g__Parabacteroides.s__Parabacteroides_goldsteinii,63.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A6W0|g__Parabacteroides.s__Parabacteroides_goldsteinii,63.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A6J3|g__Parabacteroides.s__Parabacteroides_goldsteinii,62.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2AP30|g__Parabacteroides.s__Parabacteroides_goldsteinii,62.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BCA3|g__Parabacteroides.s__Parabacteroides_goldsteinii,62.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6X568|g__Parabacteroides.s__Parabacteroides_goldsteinii,62.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_P11369|unclassified,61.494485196199996,unclassified
UniRef90_K6A1B3|g__Parabacteroides.s__Parabacteroides_goldsteinii,61.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1ZMZ3|unclassified,61.0,unclassified
UniRef90_N1ZS05|unclassified,61.0,unclassified
UniRef90_N1ZHD5|unclassified,60.5,unclassified
UniRef90_Q4YD76|unclassified,60.0494022803,unclassified
UniRef90_K5ZFU0|g__Parabacteroides.s__Parabacteroides_goldsteinii,60.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZKW9|g__Parabacteroides.s__Parabacteroides_goldsteinii,60.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1ZDJ1|unclassified,60.0,unclassified
UniRef90_N2AWA3|g__Parabacteroides.s__Parabacteroides_goldsteinii,60.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B947|g__Parabacteroides.s__Parabacteroides_goldsteinii,60.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q4XG51|unclassified,59.6381734029,unclassified
UniRef90_N1ZAU2|unclassified,59.0,unclassified
UniRef90_R5DE23|g__Parabacteroides.s__Parabacteroides_goldsteinii,59.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A5ZYU0|unclassified,58.148303114300006,unclassified
UniRef90_A6LDB7|g__Parabacteroides.s__Parabacteroides_goldsteinii,58.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1ZG67|unclassified,58.0,unclassified
UniRef90_N2BB15|g__Parabacteroides.s__Parabacteroides_goldsteinii,58.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_S0GNB3|g__Parabacteroides.s__Parabacteroides_goldsteinii,58.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_V2RHJ5|g__Mucispirillum.s__Mucispirillum_schaedleri,58.0,g__Mucispirillum.s__Mucispirillum_schaedleri
UniRef90_R6WQF7|g__Parabacteroides.s__Parabacteroides_goldsteinii,57.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q4YAG3|unclassified,56.660089383999996,unclassified
UniRef90_A8ST13|unclassified,56.5331998887,unclassified
UniRef90_A0A016JHV3|unclassified,56.0,unclassified
UniRef90_K5ZML5|g__Parabacteroides.s__Parabacteroides_goldsteinii,56.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZYQ3|g__Parabacteroides.s__Parabacteroides_goldsteinii,56.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A6V5|g__Parabacteroides.s__Parabacteroides_goldsteinii,56.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B8S7|g__Parabacteroides.s__Parabacteroides_goldsteinii,56.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6WVL3|g__Parabacteroides.s__Parabacteroides_goldsteinii,56.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_W7JSH6|unclassified,55.5,unclassified
UniRef90_N2B288|g__Parabacteroides.s__Parabacteroides_goldsteinii,55.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z1E9|g__Parabacteroides.s__Parabacteroides_goldsteinii,54.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZEF7|g__Parabacteroides.s__Parabacteroides_goldsteinii,54.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZEL4|g__Parabacteroides.s__Parabacteroides_goldsteinii,54.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AIQ2|g__Parabacteroides.s__Parabacteroides_goldsteinii,54.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6ARG4|g__Parabacteroides.s__Parabacteroides_goldsteinii,54.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q7R7C2|unclassified,53.8531972242,unclassified
UniRef90_K5Z0U6|g__Parabacteroides.s__Parabacteroides_goldsteinii,53.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZTE2|g__Parabacteroides.s__Parabacteroides_goldsteinii,53.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1ZB99|unclassified,53.0,unclassified
UniRef90_N2AR22|g__Parabacteroides.s__Parabacteroides_goldsteinii,53.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_V2QGK8|g__Mucispirillum.s__Mucispirillum_schaedleri,53.0,g__Mucispirillum.s__Mucispirillum_schaedleri
UniRef90_Q5BXX7|unclassified,52.284595665699996,unclassified
