GeneID,RPK,taxa
UniRef90_K6A3L8|g__Parabacteroides.s__Parabacteroides_goldsteinii,230.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z9H7|g__Parabacteroides.s__Parabacteroides_goldsteinii,229.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZYA2|g__Parabacteroides.s__Parabacteroides_goldsteinii,229.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2AXP6|g__Parabacteroides.s__Parabacteroides_goldsteinii,229.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A1P5|g__Parabacteroides.s__Parabacteroides_goldsteinii,228.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A1R8|g__Parabacteroides.s__Parabacteroides_goldsteinii,228.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BAA3|g__Parabacteroides.s__Parabacteroides_goldsteinii,228.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6WWF6|g__Parabacteroides.s__Parabacteroides_goldsteinii,228.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A2W1|g__Parabacteroides.s__Parabacteroides_goldsteinii,227.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6APT1|g__Parabacteroides.s__Parabacteroides_goldsteinii,227.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZMP0|g__Parabacteroides.s__Parabacteroides_goldsteinii,226.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2ASG6|g__Parabacteroides.s__Parabacteroides_goldsteinii,226.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A5Z0|g__Parabacteroides.s__Parabacteroides_goldsteinii,225.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_S0GNB3|g__Parabacteroides.s__Parabacteroides_goldsteinii,224.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6LE88|g__Parabacteroides.s__Parabacteroides_goldsteinii,223.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q650D2|g__Parabacteroides.s__Parabacteroides_goldsteinii,223.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZE67|g__Parabacteroides.s__Parabacteroides_goldsteinii,222.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZX45|g__Parabacteroides.s__Parabacteroides_goldsteinii,220.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AMG1|g__Parabacteroides.s__Parabacteroides_goldsteinii,220.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B0V8|g__Parabacteroides.s__Parabacteroides_goldsteinii,220.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6WZB6|g__Parabacteroides.s__Parabacteroides_goldsteinii,220.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YM02|g__Parabacteroides.s__Parabacteroides_goldsteinii,218.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YU95|g__Parabacteroides.s__Parabacteroides_goldsteinii,217.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A1V8|g__Parabacteroides.s__Parabacteroides_goldsteinii,217.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2AZK8|g__Parabacteroides.s__Parabacteroides_goldsteinii,217.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZN07|g__Parabacteroides.s__Parabacteroides_goldsteinii,216.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_X3F781|g__Escherichia.s__Escherichia_coli,216.0,g__Escherichia.s__Escherichia_coli
UniRef90_K5ZYB9|g__Parabacteroides.s__Parabacteroides_goldsteinii,215.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A1C7|g__Parabacteroides.s__Parabacteroides_goldsteinii,215.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B1G0|g__Parabacteroides.s__Parabacteroides_goldsteinii,215.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
