taxa,reads
g__Enhydrobacter.s__Enhydrobacter_aerosaccus,21.0
g__Entamoeba.s__Entamoeba_dispar,1.0
g__Enterobacter.s__Enterobacter_aerogenes,6.0
g__Enterobacter.s__Enterobacter_asburiae,2.0
g__Enterobacter.s__Enterobacter_cancerogenus,2.0
g__Enterobacter.s__Enterobacter_cloacae,19.0
g__Enterobacter.s__Enterobacter_hormaechei,7.0
g__Enterobacter.s__Enterobacter_mori,3.0
g__Enterobacter.s__Enterobacter_sp_MGH_22,1.0
g__Enterobacter.s__Enterobacter_sp_MGH_23,2.0
g__Enterobacter.s__Enterobacter_sp_MGH_24,2.0
g__Enterobacter.s__Enterobacter_sp_MGH_25,1.0
g__Enterobacter.s__Enterobacter_sp_MGH_26,6.0
g__Enterobacter.s__Enterobacter_sp_MGH_38,1.0
g__Enterobacter.s__Enterobacter_sp_MGH_8,3.0
g__Enterobacter.s__Enterobacter_sp_MR1,4.0
g__Enterobacter.s__Enterobacter_sp_SST3,1.0
g__Enterococcus.s__Enterococcus_casseliflavus,1.0
g__Enterococcus.s__Enterococcus_cecorum,3.0
g__Enterococcus.s__Enterococcus_durans,1.0
g__Enterococcus.s__Enterococcus_faecalis,210.0
g__Enterococcus.s__Enterococcus_faecium,171.0
g__Enterococcus.s__Enterococcus_gallinarum,1.0
g__Enterococcus.s__Enterococcus_italicus,1.0
g__Enterococcus.s__Enterococcus_mundtii,5.0
g__Enterococcus.s__Enterococcus_raffinosus,1.0
g__Erwinia.s__Erwinia_amylovora,1.0
g__Erwinia.s__Erwinia_billingiae,12.0
g__Erysipelothrix.s__Erysipelothrix_rhusiopathiae,30.0
g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_2_2_44A,1.0
g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_6_1_45,4.0
g__Erysipelotrichaceae_noname.s__Eubacterium_dolichum,2.0
g__Erythrobacter.s__Erythrobacter_sp_NAP1,8.0
g__Escherichia.s__Escherichia_albertii,21.0
g__Escherichia.s__Escherichia_coli,1743.0
g__Escherichia.s__Escherichia_fergusonii,45.0
g__Escherichia.s__Escherichia_hermannii,2.0
g__Escherichia.s__Escherichia_sp_1_1_43,849.0
g__Escherichia.s__Escherichia_sp_3_2_53FAA,167.0
g__Escherichia.s__Escherichia_sp_4_1_40B,989.0
