Taxonomy,Length,Reads,RPK
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Ruminiclostridium;s_Ruminiclostridium thermocellum,1281,2,6.748854117275169
root;k_Bacteria;p_Bacteroidetes;c_Sphingobacteriia;o_Sphingobacteriales;f_Sphingobacteriaceae;g_Sphingobacterium;s_Sphingobacterium sp. 21,447,3,6.7114093959731544
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Lachnoclostridium;s_[Clostridium] indolis,1194,8,6.700167504187605
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Pediococcus;s_Pediococcus damnosus,3933,7,6.6913202267498715
root;k_Bacteria;p_Firmicutes;c_Tissierellia;o_Tissierellales;f_Peptoniphilaceae;g_Anaerococcus;s_Anaerococcus prevotii,601,2,6.6782229926439545
root;k_Bacteria;p_Deferribacteres;c_Deferribacteres;o_Deferribacterales;f_Deferribacteraceae;g_Calditerrivibrio;s_Calditerrivibrio nitroreducens,2323,3,6.649219090387191
root;k_Bacteria;p_Cyanobacteria;c_;o_Synechococcales;f_Synechococcaceae;g_Synechococcus;s_Synechococcus sp. JA-2-3B'a(2-13),153,1,6.5359477124183005
root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Crocinitomicaceae;g_Fluviicola;s_Fluviicola taffensis,4455,3,6.492790282138577
root;k_Bacteria;p_Gemmatimonadetes;c_Gemmatimonadetes;o_Gemmatimonadales;f_Gemmatimonadaceae;g_Gemmatimonas;s_uncultured Gemmatimonas sp.,156,1,6.410256410256411
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Planococcaceae;g_Jeotgalibacillus;s_Jeotgalibacillus malaysiensis,162,1,6.172839506172839
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Roseburia;s_Roseburia intestinalis,2205,2,6.142814161067095
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Fictibacillus;s_Fictibacillus arsenicus,165,1,6.0606060606060606
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Porphyromonadaceae;g_Porphyromonas;s_Porphyromonas sp. oral taxon B47,165,1,6.0606060606060606
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Odoribacteraceae;g_Odoribacter;s_Odoribacter splanchnicus,9666,7,6.02850110253272
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella,1346,2,6.022694730813287
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Oceanobacillus;s_Oceanobacillus iheyensis,2949,8,5.789451635876167
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium pasteurianum,8250,5,5.737319660301812
root;k_Bacteria;p_Fusobacteria;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae;g_Fusobacterium;s_Fusobacterium hwasookii,4986,5,5.703570827780491
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Candidatus Arthromitus,351,2,5.698005698005699
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales,6987,6,5.684761118001889
root;k_Bacteria;p_Firmicutes;c_Negativicutes;o_Veillonellales;f_Veillonellaceae;g_Megasphaera;s_uncultured Megasphaera sp.,177,1,5.649717514124294
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_Bacillus clausii,177,1,5.649717514124294
root;k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfobacterales;f_Desulfobulbaceae;g_Desulfotalea;s_Desulfotalea psychrophila,1104,3,5.434782608695651
root;k_Bacteria;p_Fusobacteria;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae;g_Ilyobacter;s_Ilyobacter polytropus,3933,5,5.355748048187877
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium formicaceticum,2205,3,5.355447185875461
root;k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_;f_;g_;s_uncultured delta proteobacterium,189,1,5.291005291005291
root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Nonlabens;s_Nonlabens sp. Hel1_33_55,3606,19,5.268996117581808
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Klebsiella,3810,7,5.2315320615177745
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium japonicum,4851,4,5.223022037539512
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_uncultured Blautia sp.,195,1,5.128205128205128
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Alkaliphilus;s_Alkaliphilus oremlandii,810,2,4.9776007964161275
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Carnobacteriaceae;g_Carnobacterium;s_Carnobacterium sp. 17-4,201,1,4.975124378109452
root;k_Bacteria;p_Tenericutes;c_Mollicutes;o_Entomoplasmatales;f_Spiroplasmataceae;g_Spiroplasma;s_Spiroplasma diminutum,402,2,4.975124378109452
root;k_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Cyclobacteriaceae;g_Cyclobacterium;s_Cyclobacterium amurskyense,402,2,4.975124378109452
root;k_Bacteria;p_Synergistetes;c_Synergistia;o_Synergistales;f_Synergistaceae;g_Thermovirga;s_Thermovirga lienii,201,1,4.975124378109452
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales,1032,2,4.945939728548424
root;k_Bacteria;p_Tenericutes;c_Mollicutes;o_Mycoplasmatales;f_Mycoplasmataceae;g_Mycoplasma;s_Mycoplasma sp. (ex Biomphalaria glabrata),204,1,4.901960784313726
