taxa,reads
g__Shigella.s__Shigella_dysenteriae,1.0
g__Shigella.s__Shigella_flexneri,7.0
g__Shigella.s__Shigella_sonnei,3.0
g__Shigella.s__Shigella_sp_D9,6.0
g__Singularimonas.s__Singularimonas_variicoloris,1.0
g__Sphingobium.s__Sphingobium_quisquiliarum,1.0
g__Sphingobium.s__Sphingobium_xenophagum,2.0
g__Sphingobium.s__Sphingobium_yanoikuyae,1.0
g__Sphingomonas.s__Sphingomonas_sp_Mn802worker,2.0
g__Sphingomonas.s__Sphingomonas_sp_PAMC_26617,1.0
g__Sphingomonas.s__Sphingomonas_wittichii,1.0
g__Staphylococcus.s__Staphylococcus_aureus,32.0
g__Staphylococcus.s__Staphylococcus_caprae_capitis,1.0
g__Staphylococcus.s__Staphylococcus_epidermidis,1.0
g__Starkeya.s__Starkeya_novella,1.0
g__Stenotrophomonas.s__Stenotrophomonas_maltophilia,2.0
g__Streptococcus.s__Streptococcus_agalactiae,40.0
g__Streptococcus.s__Streptococcus_anginosus,1.0
g__Streptococcus.s__Streptococcus_australis,30.0
g__Streptococcus.s__Streptococcus_infantarius,2.0
g__Streptococcus.s__Streptococcus_iniae,2.0
g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae,1.0
g__Streptococcus.s__Streptococcus_mutans,3.0
g__Streptococcus.s__Streptococcus_parasanguinis,1.0
g__Streptococcus.s__Streptococcus_salivarius,170.0
g__Streptococcus.s__Streptococcus_sobrinus,16.0
g__Streptomyces.s__Streptomyces_filamentosus,1.0
g__Streptomyces.s__Streptomyces_ghanaensis,1.0
g__Streptomyces.s__Streptomyces_himastatinicus,67.0
g__Streptomyces.s__Streptomyces_rimosus,2.0
g__Streptomyces.s__Streptomyces_sp_S4,1.0
g__Sulfurihydrogenibium.s__Sulfurihydrogenibium_yellowstonense,1.0
g__Talaromyces.s__Talaromyces_stipitatus,13.0
g__Tannerella.s__Tannerella_forsythia,1.0
g__Tannerella.s__Tannerella_sp_6_1_58FAA_CT1,3701.0
g__Teredinibacter.s__Teredinibacter_turnerae,1.0
g__Tetrahymena.s__Tetrahymena_thermophila,1.0
g__Tetrasphaera.s__Tetrasphaera_elongata,4.0
g__Thalassiosira.s__Thalassiosira_pseudonana,10.0
g__Thauera.s__Thauera_selenatis,1.0
g__Thauera.s__Thauera_terpenica,1.0
g__Thermosinus.s__Thermosinus_carboxydivorans,9.0
g__Thielavia.s__Thielavia_terrestris,518.0
g__Thioalkalivibrio.s__Thioalkalivibrio_sp_ALJ8,1.0
g__Trichophyton.s__Trichophyton_verrucosum,1.0
g__Ureaplasma.s__Ureaplasma_urealyticum,1.0
g__Variovorax.s__Variovorax_sp_CF313,1.0
g__Verminephrobacter.s__Verminephrobacter_aporrectodeae,1.0
g__Verrucomicrobiales_noname.s__Verrucomicrobiae_bacterium_DG1235,1.0
g__Vibrio.s__Vibrio_alginolyticus,1.0
g__Vibrio.s__Vibrio_cholerae,5.0
g__Vibrio.s__Vibrio_cyclitrophicus,3.0
g__Vibrio.s__Vibrio_parahaemolyticus,2.0
