GeneID,RPK
UniRef90_K5Z0S6|g__Parabacteroides.s__Parabacteroides_goldsteinii,20.0
UniRef90_K5ZCG2|g__Parabacteroides.s__Parabacteroides_goldsteinii,20.0
UniRef90_K5ZIF4|g__Parabacteroides.s__Parabacteroides_goldsteinii,20.0
UniRef90_K5ZNM3|g__Parabacteroides.s__Parabacteroides_goldsteinii,20.0
UniRef90_R5DKF9|g__Parabacteroides.s__Parabacteroides_goldsteinii,20.0
UniRef90_R6WPR5|g__Parabacteroides.s__Parabacteroides_goldsteinii,20.0
UniRef90_R6X734|g__Parabacteroides.s__Parabacteroides_goldsteinii,20.0
UniRef90_A6LC65|g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0
UniRef90_K5Z1E9|g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0
UniRef90_K5Z222|g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0
UniRef90_K5ZL12|g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0
UniRef90_K5ZMM1|g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0
UniRef90_K6AGE6|g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0
UniRef90_K6AL18|g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0
UniRef90_R6WWN2|g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0
UniRef90_R6WZT4|g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0
UniRef90_S0GEK8|g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0
UniRef90_K5Y132|g__Parabacteroides.s__Parabacteroides_goldsteinii,18.0
UniRef90_K5YLZ5|g__Parabacteroides.s__Parabacteroides_goldsteinii,18.0
UniRef90_K5ZLQ3|g__Parabacteroides.s__Parabacteroides_goldsteinii,18.0
UniRef90_K5ZTH3|g__Parabacteroides.s__Parabacteroides_goldsteinii,18.0
UniRef90_K5ZU22|g__Parabacteroides.s__Parabacteroides_goldsteinii,18.0
UniRef90_K6A017|g__Parabacteroides.s__Parabacteroides_goldsteinii,18.0
UniRef90_K6A691|g__Parabacteroides.s__Parabacteroides_goldsteinii,18.0
UniRef90_K6ATV0|g__Parabacteroides.s__Parabacteroides_goldsteinii,18.0
UniRef90_Q5L8Z8|g__Parabacteroides.s__Parabacteroides_goldsteinii,18.0
UniRef90_R6X0H1|g__Parabacteroides.s__Parabacteroides_goldsteinii,18.0
UniRef90_R6X3A3|g__Parabacteroides.s__Parabacteroides_goldsteinii,18.0
UniRef90_A6L8T3|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0
UniRef90_A6LEJ0|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0
UniRef90_A6LER8|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0
UniRef90_J9GSU8|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0
UniRef90_K5Y257|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0
UniRef90_K5Y8I3|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0
UniRef90_K5YYL5|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0
UniRef90_K5ZHQ6|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0
UniRef90_K5ZUN5|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0
UniRef90_K5ZYU1|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0
UniRef90_K6AL59|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0
UniRef90_A6L915|g__Parabacteroides.s__Parabacteroides_goldsteinii,16.0
UniRef90_A6LD62|g__Parabacteroides.s__Parabacteroides_goldsteinii,16.0
UniRef90_K5YF77|g__Parabacteroides.s__Parabacteroides_goldsteinii,16.0
UniRef90_K5YRH3|g__Parabacteroides.s__Parabacteroides_goldsteinii,16.0
UniRef90_K5YVR2|g__Parabacteroides.s__Parabacteroides_goldsteinii,16.0
UniRef90_K5ZCG7|g__Parabacteroides.s__Parabacteroides_goldsteinii,16.0
UniRef90_K5ZI44|g__Parabacteroides.s__Parabacteroides_goldsteinii,16.0
UniRef90_K5ZL77|g__Parabacteroides.s__Parabacteroides_goldsteinii,16.0
UniRef90_K5ZZV3|g__Parabacteroides.s__Parabacteroides_goldsteinii,16.0
UniRef90_K6A2F0|g__Parabacteroides.s__Parabacteroides_goldsteinii,16.0
UniRef90_K6AHD3|g__Parabacteroides.s__Parabacteroides_goldsteinii,16.0
UniRef90_N2AM75|g__Parabacteroides.s__Parabacteroides_goldsteinii,16.0
UniRef90_N2B3F1|g__Parabacteroides.s__Parabacteroides_goldsteinii,16.0
UniRef90_A6LEH7|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0
UniRef90_A6LEL6|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0
UniRef90_K5ZDW5|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0
UniRef90_K5ZGH3|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0
UniRef90_K5ZGJ4|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0
UniRef90_K5ZGL1|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0
UniRef90_K6A1V8|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0
UniRef90_K6A6E9|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0
UniRef90_K6AWC6|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0
UniRef90_R5DBY9|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0
UniRef90_R5DL45|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0
UniRef90_R6WRE4|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0
UniRef90_R6WS16|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0
UniRef90_R6XAC6|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0
UniRef90_A6L8C4|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0
UniRef90_G8UHS2|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0
UniRef90_K5YLM7|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0
UniRef90_K5YM75|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0
UniRef90_K5YXW8|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0
UniRef90_K5Z0A8|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0
UniRef90_K5Z877|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0
UniRef90_K5ZBW2|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0
UniRef90_K5ZLY5|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0
UniRef90_K6AM59|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0
UniRef90_N2B7I2|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0
UniRef90_R5DBD4|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0
UniRef90_R5DG80|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0
UniRef90_R5DS60|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0
UniRef90_R6X9S8|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0
UniRef90_R6Y919|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0
UniRef90_A6LA83|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
UniRef90_A6LA97|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
UniRef90_A6LBZ5|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
UniRef90_A6LEI1|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
UniRef90_A6LEJ4|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
UniRef90_K5Y2C5|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
UniRef90_K5Y4A2|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
UniRef90_K5Y6T0|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
UniRef90_K5YE79|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
UniRef90_K5YHJ5|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
UniRef90_K5ZAV2|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
UniRef90_K5ZPU7|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
UniRef90_K5ZUT6|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
UniRef90_K6A2Q0|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
UniRef90_K6A5K7|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
UniRef90_K6A9H5|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
UniRef90_K6AA39|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
UniRef90_K6AGN3|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
UniRef90_K6AMH0|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
UniRef90_N2AW14|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
UniRef90_N2B2Y0|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
UniRef90_R5DGR1|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
