GeneID,RPK,taxa
UniRef90_K5ZKW9|g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZTS6|g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZUB5|g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A0L7|g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A5V0|g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A917|g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AP50|g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2AJB7|g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BBM3|g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6WWN2|g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6L8C6|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6LEI6|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YFI6|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YG17|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YHG9|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YMS5|g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
