Taxonomy,Length,Reads,RPK
root;k_Bacteria;p_Bacteroidetes;c_Sphingobacteriia;o_Sphingobacteriales;f_Sphingobacteriaceae;g_Sphingobacterium;s_Sphingobacterium sp. 21,3018,1,0.3313452617627568
root;k_Bacteria;p_Bacteroidetes;c_Sphingobacteriia;o_Sphingobacteriales;f_Sphingobacteriaceae;g_Sphingobacterium;s_Sphingobacterium sp. PM2-P1-29,699,1,1.430615164520744
root;k_Bacteria;p_Candidatus Woesebacteria;c_;o_;f_;g_;s_Candidatus Woesebacteria bacterium GW2011_GWF1_31_35,267,1,3.745318352059925
root;k_Bacteria;p_Chlamydiae;c_Chlamydiia;o_Chlamydiales;f_Chlamydiaceae;g_Chlamydia;s_Chlamydia sp. 2742-308,1122,10,34.25426774483378
root;k_Bacteria;p_Chlorobi;c_Chlorobia;o_Chlorobiales;f_Chlorobiaceae;g_Chlorobaculum;s_Chlorobaculum limnaeum,1419,1,0.704721634954193
root;k_Bacteria;p_Chlorobi;c_Chlorobia;o_Chlorobiales;f_Chlorobiaceae;g_Chlorobaculum;s_Chlorobaculum parvum,666,1,1.5015015015015014
root;k_Bacteria;p_Chlorobi;c_Chlorobia;o_Chlorobiales;f_Chlorobiaceae;g_Chlorobium;s_Chlorobium limicola,939,2,4.287201402586018
root;k_Bacteria;p_Chlorobi;c_Chlorobia;o_Chlorobiales;f_Chlorobiaceae;g_Chlorobium;s_Chlorobium phaeobacteroides,2589,1,0.3862495171881035
root;k_Bacteria;p_Chlorobi;c_Chlorobia;o_Chlorobiales;f_Chlorobiaceae;g_Pelodictyon;s_Pelodictyon phaeoclathratiforme,2562,2,0.7806401249024201
root;k_Bacteria;p_Chloroflexi;c_Ardenticatenia;o_Ardenticatenales;f_Ardenticatenaceae;g_Ardenticatena,459,1,2.178649237472767
root;k_Bacteria;p_Chloroflexi;c_Chloroflexia;o_Chloroflexales;f_;g_;s_uncultured Chloroflexales bacterium,342,1,2.923976608187134
root;k_Bacteria;p_Cyanobacteria;c_;o_Nostocales;f_Nostocaceae;g_Anabaena;s_Anabaena sp. 90,3006,1,0.33266799733865604
root;k_Bacteria;p_Cyanobacteria;c_;o_Oscillatoriales;f_Microcoleaceae;g_Trichodesmium;s_Trichodesmium erythraeum,1359,1,0.7358351729212657
root;k_Bacteria;p_Cyanobacteria;c_;o_Oscillatoriales;f_Oscillatoriaceae;g_Moorea;s_Moorea producens,849,1,1.1778563015312131
