taxa,reads
g__Clostridium.s__Clostridium_sp_ASF356,50279.0
g__Clostridium.s__Clostridium_sp_ASF502,21.0
g__Clostridium.s__Clostridium_sp_ATCC_BAA_442,6.0
g__Clostridium.s__Clostridium_sp_BL8,15.0
g__Clostridium.s__Clostridium_sp_D5,28.0
g__Clostridium.s__Clostridium_sp_KLE_1755,16.0
g__Clostridium.s__Clostridium_sp_L2_50,167.0
g__Clostridium.s__Clostridium_sp_M62_1,108.0
g__Clostridium.s__Clostridium_sp_MSTE9,1.0
g__Clostridium.s__Clostridium_sp_SS2_1,581.0
g__Clostridium.s__Clostridium_sp_SY8519,3.0
g__Clostridium.s__Clostridium_sporosphaeroides,1.0
g__Clostridium.s__Clostridium_symbiosum,2873.0
g__Clostridium.s__Clostridium_thermocellum,3.0
g__Coccidioides.s__Coccidioides_immitis,2.0
g__Coccidioides.s__Coccidioides_posadasii,3.0
g__Collinsella.s__Collinsella_aerofaciens,4.0
g__Comamonas.s__Comamonas_testosteroni,2.0
g__Conexibacter.s__Conexibacter_woesei,1.0
g__Coprinopsis.s__Coprinopsis_cinerea,3.0
g__Coprobacillus.s__Coprobacillus_sp_8_2_54BFAA,1.0
g__Coprobacillus.s__Coprobacillus_sp_D7,1.0
g__Coprococcus.s__Coprococcus_comes,4.0
g__Coprococcus.s__Coprococcus_eutactus,152.0
g__Coprococcus.s__Coprococcus_sp_ART55_1,4.0
g__Coprococcus.s__Coprococcus_sp_HPP0048,4.0
g__Coprococcus.s__Coprococcus_sp_HPP0074,1.0
g__Corynebacterium.s__Corynebacterium_accolens,15.0
g__Corynebacterium.s__Corynebacterium_glucuronolyticum,2.0
g__Corynebacterium.s__Corynebacterium_kroppenstedtii,6.0
g__Corynebacterium.s__Corynebacterium_propinquum,1.0
g__Corynebacterium.s__Corynebacterium_pseudogenitalium,4.0
g__Corynebacterium.s__Corynebacterium_sp_KPL1824,1.0
g__Corynebacterium.s__Corynebacterium_striatum,1.0
g__Corynebacterium.s__Corynebacterium_timonense,1.0
g__Coxiella.s__Coxiella_burnetii,4.0
g__Cronobacter.s__Cronobacter_malonaticus,3.0
g__Cryocola.s__Cryocola_sp_340MFSha3_1,1.0
g__Cupriavidus.s__Cupriavidus_metallidurans,1.0
g__Cupriavidus.s__Cupriavidus_sp_WS,1.0
g__Curtobacterium.s__Curtobacterium_ginsengisoli,4.0
g__Curvibacter.s__Curvibacter_lanceolatus,41.0
g__Cyanothece.s__Cyanothece_sp_CCY0110,1.0
g__Cytophaga.s__Cytophaga_aurantiaca,1.0
g__Debaryomyces.s__Debaryomyces_hansenii,1.0
g__Deinococcus.s__Deinococcus_gobiensis,3.0
g__Delftia.s__Delftia_acidovorans,10.0
g__Delftia.s__Delftia_sp_Cs1_4,2.0
g__Denitrovibrio.s__Denitrovibrio_acetiphilus,1.0
g__Desulfobacca.s__Desulfobacca_acetoxidans,1.0
g__Desulfotomaculum.s__Desulfotomaculum_gibsoniae,2.0
g__Desulfovibrio.s__Desulfovibrio_alkalitolerans,1.0
g__Desulfovibrio.s__Desulfovibrio_desulfuricans,1.0
g__Dickeya.s__Dickeya_dadantii,1.0
g__Dictyostelium.s__Dictyostelium_discoideum,12.0
g__Dictyostelium.s__Dictyostelium_purpureum,3.0
g__Dorea.s__Dorea_formicigenerans,15.0
g__Dorea.s__Dorea_longicatena,2021.0
g__Dorea.s__Dorea_sp_5_2,41.0
g__Edwardsiella.s__Edwardsiella_ictaluri,1.0
g__Elizabethkingia.s__Elizabethkingia_anophelis,4.0
g__Enhydrobacter.s__Enhydrobacter_aerosaccus,1.0
g__Enterobacter.s__Enterobacter_cloacae,5.0
g__Enterobacter.s__Enterobacter_hormaechei,1.0
g__Enterococcus.s__Enterococcus_avium,1.0
g__Enterococcus.s__Enterococcus_casseliflavus,5.0
g__Enterococcus.s__Enterococcus_cecorum,7.0
g__Enterococcus.s__Enterococcus_durans,1.0
g__Enterococcus.s__Enterococcus_faecalis,472.0
g__Enterococcus.s__Enterococcus_faecium,273.0
g__Enterococcus.s__Enterococcus_italicus,1.0
g__Enterococcus.s__Enterococcus_mundtii,4.0
g__Enterococcus.s__Enterococcus_raffinosus,2.0
g__Enterovibrio.s__Enterovibrio_calviensis,2.0
g__Eremothecium.s__Eremothecium_cymbalariae,3.0
g__Erysipelothrix.s__Erysipelothrix_rhusiopathiae,12.0
g__Erysipelotrichaceae_noname.s__Clostridium_innocuum,2.0
g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_2_2_44A,1.0
g__Escherichia.s__Escherichia_albertii,2.0
g__Escherichia.s__Escherichia_coli,305.0
g__Escherichia.s__Escherichia_fergusonii,7.0
g__Escherichia.s__Escherichia_sp_1_1_43,131.0
g__Escherichia.s__Escherichia_sp_3_2_53FAA,35.0
g__Escherichia.s__Escherichia_sp_4_1_40B,158.0
g__Escherichia.s__Escherichia_sp_TW09231,3.0
g__Escherichia.s__Escherichia_sp_TW09276,2.0
g__Escherichia.s__Escherichia_sp_TW09308,4.0
g__Escherichia.s__Escherichia_sp_TW10509,16.0
g__Escherichia.s__Escherichia_sp_TW11588,5.0
g__Eubacteriaceae_noname.s__Eubacteriaceae_bacterium_OBRC8,1.0
g__Eubacterium.s__Eubacterium_cellulosolvens,2.0
g__Eubacterium.s__Eubacterium_hallii,22.0
g__Eubacterium.s__Eubacterium_limosum,6.0
g__Eubacterium.s__Eubacterium_plexicaudatum,25.0
g__Eubacterium.s__Eubacterium_ramulus,4.0
g__Eubacterium.s__Eubacterium_rectale,2.0
g__Eubacterium.s__Eubacterium_sp_14_2,1365.0
g__Eubacterium.s__Eubacterium_sp_3_1_31,2.0
g__Eubacterium.s__Eubacterium_ventriosum,423.0
g__Facklamia.s__Facklamia_hominis,2.0
g__Facklamia.s__Facklamia_ignava,1.0
g__Faecalibacterium.s__Faecalibacterium_prausnitzii,59.0
g__Filobasidiella.s__Cryptococcus_neoformans,1.0
g__Finegoldia.s__Finegoldia_magna,3.0
g__Flavobacteriaceae_noname.s__Flavobacteriaceae_bacterium_HQM9,5.0
g__Flavobacteriia_noname.s__Flavobacteria_bacterium_BBFL7,1.0
g__Flavobacteriia_noname.s__Flavobacteria_bacterium_MS024_2A,8.0
g__Flavobacteriia_noname.s__Flavobacteria_bacterium_MS024_3C,3.0
g__Flavobacterium.s__Flavobacterium_saliperosum,4.0
g__Fusobacterium.s__Fusobacterium_gonidiaformans,1.0
g__Fusobacterium.s__Fusobacterium_nucleatum,9.0
g__Gammaproteobacteria_noname.s__marine_gamma_proteobacterium_HTCC2143,10.0
g__Geitlerinema.s__Geitlerinema_sp_PCC_7105,8.0
g__Geodermatophilus.s__Geodermatophilus_obscurus,1.0
g__Geovibrio.s__Geovibrio_sp_L21_Ace_BES,1.0
g__Giardia.s__Giardia_intestinalis,1.0
g__Gordonia.s__Gordonia_terrae,3.0
g__Haemophilus.s__Haemophilus_influenzae,4.0
g__Haemophilus.s__Haemophilus_parainfluenzae,6.0
g__Haemophilus.s__Haemophilus_parasuis,2.0
g__Haliscomenobacter.s__Haliscomenobacter_hydrossis,3.0
g__Halomonas.s__Halomonas_titanicae,1.0
g__Helicobacter.s__Helicobacter_cinaedi,2.0
g__Helicobacter.s__Helicobacter_hepaticus,2.0
g__Helicobacter.s__Helicobacter_mustelae,1.0
g__Helicobacter.s__Helicobacter_pylori,2.0
g__Heliobacterium.s__Heliobacterium_modesticaldum,83.0
g__Herbaspirillum.s__Herbaspirillum_sp_YR522,1.0
g__Hydrocarboniphaga.s__Hydrocarboniphaga_effusa,3.0
g__Hydrogenophaga.s__Hydrogenophaga_sp_PBC,5.0
g__Idiomarina.s__Idiomarina_baltica,5.0
g__Isoptericola.s__Isoptericola_variabilis,1.0
g__Janthinobacterium.s__Janthinobacterium_sp_CG3,3.0
g__Johnsonella.s__Johnsonella_ignava,1.0
g__Kitasatospora.s__Kitasatospora_setae,1.0
g__Klebsiella.s__Klebsiella_oxytoca,2.0
g__Klebsiella.s__Klebsiella_pneumoniae,3.0
g__Kluyveromyces.s__Kluyveromyces_lactis,1.0
g__Kocuria.s__Kocuria_rhizophila,7.0
g__Kordiimonas.s__Kordiimonas_gwangyangensis,1.0
g__Kosakonia.s__Kosakonia_radicincitans,3.0
g__Kytococcus.s__Kytococcus_sedentarius,2.0
g__Laccaria.s__Laccaria_bicolor,22.0
g__Lachnobacterium.s__Lachnobacterium_bovis,2.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA,2.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_4_56FAA,27.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_2_1_46FAA,1.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_2_1_58FAA,3.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_46FAA,2.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_57FAA_CT1,8.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_4_1_37FAA,21.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_57FAA,6.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA,84.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_6_1_63FAA,104.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_7_1_58FAA,2.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_8_1_57FAA,7.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_9_1_43BFAA,118.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_oral_taxon_082,1.0
g__Lactobacillus.s__Lactobacillus_animalis,131.0
g__Lactobacillus.s__Lactobacillus_buchneri,1.0
g__Lactobacillus.s__Lactobacillus_casei_paracasei,9.0
g__Lactobacillus.s__Lactobacillus_crispatus,46.0
g__Lactobacillus.s__Lactobacillus_fermentum,42.0
g__Lactobacillus.s__Lactobacillus_gasseri,4.0
g__Lactobacillus.s__Lactobacillus_jensenii,60.0
g__Lactobacillus.s__Lactobacillus_murinus,2076.0
