taxa,reads
g__Laccaria.s__Laccaria_bicolor,1.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_57FAA_CT1,8.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_4_1_37FAA,207.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA,58.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_6_1_63FAA,44.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_8_1_57FAA,10.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_9_1_43BFAA,455.0
g__Lactobacillus.s__Lactobacillus_acidophilus,1.0
g__Lactobacillus.s__Lactobacillus_animalis,80.0
g__Lactobacillus.s__Lactobacillus_brevis,13.0
g__Lactobacillus.s__Lactobacillus_casei_paracasei,11.0
g__Lactobacillus.s__Lactobacillus_crispatus,24.0
g__Lactobacillus.s__Lactobacillus_fermentum,13.0
g__Lactobacillus.s__Lactobacillus_jensenii,78.0
g__Lactobacillus.s__Lactobacillus_murinus,420.0
g__Lactobacillus.s__Lactobacillus_plantarum,1.0
g__Lactobacillus.s__Lactobacillus_reuteri,19.0
g__Lactobacillus.s__Lactobacillus_rhamnosus,5.0
g__Lactobacillus.s__Lactobacillus_salivarius,24.0
g__Lactococcus.s__Lactococcus_lactis,7.0
g__Leishmania.s__Leishmania_mexicana,1.0
g__Leptosphaeria.s__Leptosphaeria_maculans,53.0
g__Leptospira.s__Leptospira_wolbachii,1.0
g__Leptothrix.s__Leptothrix_cholodnii,2.0
g__Leptotrichia.s__Leptotrichia_hofstadii,6.0
g__Leptotrichia.s__Leptotrichia_sp_oral_taxon_879,20.0
g__Leuconostoc.s__Leuconostoc_mesenteroides,1.0
g__Limnohabitans.s__Limnohabitans_sp_Rim28,2.0
g__Limnohabitans.s__Limnohabitans_sp_Rim47,11.0
g__Listeria.s__Listeria_grayi,1.0
g__Listeria.s__Listeria_innocua,2.0
g__Listeria.s__Listeria_monocytogenes,42.0
g__Lutibaculum.s__Lutibaculum_baratangense,2.0
g__Malassezia.s__Malassezia_globosa,69.0
g__Maricaulis.s__Maricaulis_sp_JL2009,1.0
g__Marinilabilia.s__Marinilabilia_salmonicolor,55.0
g__Massilia.s__Massilia_timonae,3.0
g__Melioribacter.s__Melioribacter_roseus,1.0
g__Mesorhizobium.s__Mesorhizobium_amorphae,11.0
g__Mesorhizobium.s__Mesorhizobium_australicum,2.0
g__Mesorhizobium.s__Mesorhizobium_ciceri,3.0
g__Mesorhizobium.s__Mesorhizobium_loti,141.0
g__Mesorhizobium.s__Mesorhizobium_metallidurans,7.0
g__Mesorhizobium.s__Mesorhizobium_opportunistum,9.0
g__Mesorhizobium.s__Mesorhizobium_sp_WSM4349,6.0
g__Methylobacterium.s__Methylobacterium_extorquens,4.0
g__Methylobacterium.s__Methylobacterium_populi,53.0
g__Methylobacterium.s__Methylobacterium_radiotolerans,1.0
g__Methylobacterium.s__Methylobacterium_sp_88A,2.0
g__Methylobacterium.s__Methylobacterium_sp_GXF4,15.0
g__Methylobacterium.s__Methylobacterium_sp_MB200,4.0
g__Methylobacterium.s__Methylobacterium_sp_WSM2598,2.0
g__Methylocystis.s__Methylocystis_parvus,2.0
g__Methylotenera.s__Methylotenera_mobilis,1.0
g__Methylotenera.s__Methylotenera_sp_1P_1,1.0
g__Methyloversatilis.s__Methyloversatilis_universalis,2.0
g__Microbacterium.s__Microbacterium_laevaniformans,8.0
g__Microbacterium.s__Microbacterium_sp_292MF,2.0
g__Microbacterium.s__Microbacterium_sp_B19,1.0
g__Microbacterium.s__Microbacterium_sp_TS_1,1.0
g__Microbacterium.s__Microbacterium_sp_oral_taxon_186,1.0
g__Micrococcus.s__Micrococcus_luteus,70.0
g__Microcystis.s__Microcystis_aeruginosa,3.0
g__Microlunatus.s__Microlunatus_phosphovorus,1.0
g__Mucispirillum.s__Mucispirillum_schaedleri,1150.0
g__Myceliophthora.s__Myceliophthora_thermophila,49.0
g__Mycobacterium.s__Mycobacterium_parascrofulaceum,1.0
g__Mycobacterium.s__Mycobacterium_sp_155,1.0
g__Mycobacterium.s__Mycobacterium_sp_360MFTsu5_1,1.0
g__Mycobacterium.s__Mycobacterium_tuberculosis_bovis_africanum_canetti,2.0
g__Mycoplasma.s__Mycoplasma_leachii,1.0
g__Myxococcus.s__Myxococcus_stipitatus,1.0
g__Nakamurella.s__Nakamurella_multipartita,1.0
g__Naumovozyma.s__Naumovozyma_dairenensis,13.0
g__Neisseria.s__Neisseria_macacae,1.0
g__Neisseria.s__Neisseria_meningitidis,7.0
g__Neisseria.s__Neisseria_mucosa,13.0
g__Neisseria.s__Neisseria_polysaccharea,15.0
g__Neisseria.s__Neisseria_shayeganii,1.0
g__Neisseria.s__Neisseria_subflava,2.0
g__Niastella.s__Niastella_koreensis,1.0
g__Nitrobacter.s__Nitrobacter_hamburgensis,2.0
g__Nitrosopumilus.s__Candidatus_Nitrosopumilus_salaria,3.0
g__Nocardioides.s__Nocardioides_sp_CF8,6.0
g__Nocardioides.s__Nocardioides_sp_JS614,2.0
g__Novosphingobium.s__Novosphingobium_aromaticivorans,9.0
g__Novosphingobium.s__Novosphingobium_nitrogenifigens,3.0
g__Novosphingobium.s__Novosphingobium_sp_AP12,1.0
g__Novosphingobium.s__Novosphingobium_sp_PP1Y,2.0
g__Novosphingobium.s__Novosphingobium_tardaugens,1.0
g__Ochrobactrum.s__Ochrobactrum_intermedium,1.0
g__Ochrobactrum.s__Ochrobactrum_sp_CDB2,1.0
g__Oxalobacteraceae_noname.s__Oxalobacteraceae_bacterium_IMCC9480,4.0
g__Paenibacillus.s__Paenibacillus_lactis,799.0
g__Paenibacillus.s__Paenibacillus_sp_ICGEB2008,9.0
g__Paenibacillus.s__Paenibacillus_sp_oral_taxon_786,10.0
g__Pantoea.s__Pantoea_agglomerans,1.0
g__Parabacteroides.s__Parabacteroides_distasonis,56.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,14588.0
g__Parabacteroides.s__Parabacteroides_johnsonii,10.0
g__Parabacteroides.s__Parabacteroides_merdae,6166.0
g__Parabacteroides.s__Parabacteroides_sp_20_3,6.0
g__Parabacteroides.s__Parabacteroides_sp_ASF519,13848.0
g__Parabacteroides.s__Parabacteroides_sp_D13,328.0
g__Parabacteroides.s__Parabacteroides_sp_D25,5.0
g__Paracoccus.s__Paracoccus_denitrificans,1.0
g__Paracoccus.s__Paracoccus_sp_N5,5.0
g__Paracoccus.s__Paracoccus_sp_TRP,1.0
g__Paracoccus.s__Paracoccus_zeaxanthinifaciens,3.0
g__Paraprevotella.s__Paraprevotella_clara,26.0
g__Parvimonas.s__Parvimonas_micra,23.0
g__Pedosphaera.s__Pedosphaera_parvula,3.0
g__Pelosinus.s__Pelosinus_fermentans,5.0
g__Pelosinus.s__Pelosinus_sp_HCF1,7.0
g__Peptostreptococcaceae_noname.s__Clostridium_bartlettii,59.0
g__Peptostreptococcaceae_noname.s__Clostridium_hiranonis,3.0
g__Peptostreptococcaceae_noname.s__Clostridium_sordellii,4.0
g__Perkinsus.s__Perkinsus_marinus,59.0
g__Perlucidibaca.s__Perlucidibaca_piscinae,2.0
g__Phaeospirillum.s__Phaeospirillum_fulvum,1.0
g__Phenylobacterium.s__Phenylobacterium_zucineum,5.0
g__Plasmodium.s__Plasmodium_berghei,361.0
g__Plasmodium.s__Plasmodium_chabaudi,21.0
g__Plasmodium.s__Plasmodium_yoelii,52.0
g__Plesiocystis.s__Plesiocystis_pacifica,4.0
g__Polaromonas.s__Polaromonas_sp_CF318,16.0
g__Polaromonas.s__Polaromonas_sp_JS666,4.0
g__Polynucleobacter.s__Polynucleobacter_necessarius,13.0
g__Porphyromonas.s__Porphyromonas_cansulci,2.0
g__Porphyromonas.s__Porphyromonas_crevioricanis,4.0
g__Porphyromonas.s__Porphyromonas_gingivalis,6.0
g__Porphyromonas.s__Porphyromonas_sp_oral_taxon_278,2.0
g__Prevotella.s__Prevotella_amnii,2.0
g__Prevotella.s__Prevotella_histicola,1416.0
g__Prevotella.s__Prevotella_nigrescens,5.0
g__Prevotella.s__Prevotella_oris,5.0
g__Prevotella.s__Prevotella_veroralis,6.0
g__Propionibacterium.s__Propionibacterium_acnes,132.0
g__Propionibacterium.s__Propionibacterium_freudenreichii,3.0
g__Propionibacterium.s__Propionibacterium_granulosum,6.0
g__Propionibacterium.s__Propionibacterium_humerusii,9.0
g__Propionibacterium.s__Propionibacterium_sp_409_HC1,91.0
g__Propionibacterium.s__Propionibacterium_sp_434_HC2,119.0
g__Propionibacterium.s__Propionibacterium_sp_5_U_42AFAA,48.0
g__Propionibacterium.s__Propionibacterium_sp_CC003_HC2,102.0
g__Propionibacterium.s__Propionibacterium_sp_KPL1844,3.0
g__Propionibacterium.s__Propionibacterium_sp_KPL1847,204.0
g__Propionibacterium.s__Propionibacterium_sp_KPL1849,226.0
